,qus,ans
2200,What genre is Currency?,crime film
2201,What genre is The Message?,thriller
2202,What genre is Fire?,fantasy
2203,What genre is 2NE1?,K-pop
2204,What genre is Alien?,horror film
2205,What genre is Shaolin Temple?,martial arts film
2206,What genre is Flightplan?,thriller
2207,What genre is Len?,alternative rock
2208,What genre is Troll Bends Fir?,folk metal
2209,What genre is Aperture Tag?,first-person shooter
2210,What genre is You're the One for Me?,post-disco
2211,What genre is Dune 2000?,real-time strategy
2212,What genre is Culture?,roots reggae
2213,What genre is Chamber of Horrors?,horror film
2214,What genre is Teacher's Pet?,musical film
2215,What genre is Tweet?,neo soul
2216,What genre is Princess?,mandopop
2217,What genre is Disorder?,punk rock
2218,What genre is The Practice?,legal drama
2219,What genre is Elsewhere?,novella
2220,What genre is Hellgate?,Western film
2221,What genre is Exists?,horror film
2222,What genre is Ida?,indie rock
2223,What genre is Point of View?,documentary film
2224,What genre is The Answer?,hard rock
2225,What genre is Toe to Toe?,hardcore punk
2226,What genre is The Pack?,horror film
2227,What genre is Purple Toupee?,alternative rock
2228,What genre is The Prophet?,hardstyle
2229,What genre is The Crimson Kimono?,film noir
2230,What genre is Yasutaka Nakata?,J-pop
2231,What genre is Transport Tycoon?,business simulation game
2232,What genre is Inside?,thriller
2233,What genre is Main Course?,disco
2234,What genre is Strength?,hardcore punk
2235,What genre is The Darkness?,first-person shooter
2236,What genre is The Visitor?,science fiction film
2237,What genre is Pickup?,film noir
2238,What genre is Breakthrough?,war film
2239,What genre is Eating Out?,romantic comedy
2240,What genre is Doorways in the Sand?,science fiction
2241,What genre is Deadline?,mystery film
2242,What genre is In the Next Room?,mystery film
2243,What genre is Aquanaut's Holiday?,simulation video game
2244,What genre is Fade?,young adult literature
2245,What genre is The City?,soap opera
2246,What genre is My Heart?,country music
2247,What genre is David Byron?,rock music
2248,What genre is Today Is A Beautiful Day?,J-pop
2249,What genre is Door Door?,platform game
2250,What genre is Dallas?,soap opera
2251,What genre is Deadline?,electronic music
2252,What genre is Touring Band 2000?,alternative rock
2253,What genre is The Restaurant?,reality television
2254,What genre is Convicted?,film noir
2255,What genre is Ride?,comedy film
2256,What genre is Before Midnight?,detective fiction
2257,What genre is Airline Disaster?,disaster film
2258,What genre is Geist?,first-person shooter
2259,What genre is Alexander?,real-time strategy
2260,What genre is Grease?,romantic comedy
2261,What genre is Kill?,death metal
2262,What genre is Street Fighter?,fighting game
2263,What genre is Kiss?,romantic comedy
2264,What genre is The Cove?,documentary film
2265,What genre is Rumi Shishido?,J-pop
2266,What genre is Good News?,science fiction
2267,What genre is Closure?,alternative rock
2268,What genre is The Battle?,progressive metal
2269,What genre is All the Years?,rock music
2270,What genre is Eat at Home?,rock music
2271,What genre is Sugar?,romance film
2272,What genre is The Firm?,rock music
2273,What genre is Vault?,public art
2274,What genre is Deep Blue Something?,alternative rock
2275,What genre is Babyface?,hip hop soul
2276,What genre is The Marauders?,Western film
2277,What genre is Pepper Dennis?,comedy-drama
2278,What genre is Stranger?,real-time strategy
2279,What genre is Flavio?,opera
2280,What genre is Jazz?,rock music
2281,What genre is Out of This World?,science fiction
2282,What genre is Legacy?,documentary film
2283,What genre is Everclear?,alternative rock
2284,What genre is Construct?,melodic death metal
2285,What genre is Carrie?,film adaptation
2286,What genre is Killjoy?,slasher film
2287,What genre is The Dying Night?,science fiction
2288,What genre is Hollow?,horror film
2289,What genre is Truckfighters?,stoner rock
2290,What genre is Abandon?,Christian rock
2291,What genre is Still Life?,punk rock
2292,What genre is Asian School Girls?,action film
2293,What genre is Selena Gomez & the Scene?,pop rock
2294,What genre is What About Me?,psychedelic rock
2295,What genre is Mentors?,heavy metal
2296,What genre is Granado Espada?,fantasy
2297,What genre is Breathing?,public art
2298,What genre is Ca-bau-kan?,romance film
2299,What genre is Godzilla?,B movie
2300,What genre is Ignite?,punk rock
2301,What genre is Arise?,death metal
2302,What genre is Frances?,biographical film
2303,What genre is Ministry?,industrial metal
2304,What genre is Prince Lasha?,jazz
2305,What genre is The Joykiller?,punk rock
2306,What genre is Paddy Boom?,glam rock
2307,What genre is Trouble?,synth-pop
2308,What genre is The Circle?,fantasy film
2309,What genre is Rough Night in Jericho?,Revisionist Western
2310,What genre is Gold?,science fiction film
2311,What genre is Let It Go?,indie pop
2312,What genre is The Body?,mystery fiction
2313,What genre is Pushmo World?,puzzle video game
2314,What genre is Happy?,documentary film
2315,What genre is Thankful?,dance-pop
2316,What genre is Megan Is Missing?,horror film
2317,What genre is Can?,Krautrock
2318,What genre is Nancy Drew and the Hidden Staircase?,mystery film
2319,What genre is The Congress?,documentary film
2320,What genre is Jean-Paul Gaster?,rock music
2321,What genre is Obsessed?,thriller
2322,What genre is Them?,horror film
2323,What genre is Chicago?,satire
2324,What genre is Drôles de zèbres?,comedy film
2325,What genre is Trigger?,comedy-drama
2326,What genre is Falcon Crest?,soap opera
2327,What genre is Junction?,puzzle video game
2328,What genre is The Singer?,romance film
2329,What genre is The Bridge?,documentary film
2330,What genre is Looking for Love?,romantic comedy
2331,What genre is The Toy?,comedy film
2332,What genre is The Other?,short story
2333,What genre is Life?,rhythm and blues
2334,What genre is Nineteen Eighty-Four?,political fiction
2335,What genre is Gravity?,rock music
2336,What genre is Marie Bergman?,pop music
2337,What genre is Seconds Apart?,thriller
2338,What genre is Jail?,reality television
2339,What genre is Will?,electronic music
2340,What genre is Yoko Ono?,experimental music
2341,What genre is The Tunnel?,short story
2342,What genre is North?,comedy film
2343,What genre is Caught?,Western film
2344,What genre is Cover You?,J-pop
2345,What genre is Right of Way?,trance
2346,What genre is Poison?,horror film
2347,What genre is In the Mouth of the Whale?,science fiction
2348,What genre is Inside?,horror film
2349,What genre is Death of an Expert Witness?,mystery fiction
2350,What genre is The Fallen?,third-person shooter
2351,What genre is Oni?,third-person shooter
2352,What genre is Made for Each Other?,romantic comedy
2353,What genre is Silly?,rock music
2354,What genre is Mario Kart: Super Circuit?,racing video game
2355,What genre is Bones?,blaxploitation
2356,What genre is The Mark Waters Story?,docudrama
2357,What genre is Will to Power?,dance-pop
2358,What genre is Billy?,sitcom
2359,What genre is Dominic Duval?,jazz
2360,What genre is Martin?,horror film
2361,What genre is Beyond Civilization?,non-fiction
2362,What genre is Rugby League?,sports video game
2363,What genre is Buck and the Preacher?,Western film
2364,What genre is Hippolyte Flandrin?,history painting
2365,What genre is Jobs?,biographical film
2366,What genre is Captive?,role-playing video game
2367,What genre is Breaker?,heavy metal
2368,What genre is Beautiful Darling?,documentary film
2369,What genre is Skiing?,sports video game
2370,What genre is Proof?,comedy-drama
2371,What genre is The Keeper?,action film
2372,What genre is Ernie Watts?,jazz
2373,What genre is Deryl Dodd?,country music
2374,What genre is Suikoden Tierkreis?,role-playing video game
2375,What genre is Happy When It Rains?,alternative rock
2376,What genre is Nolan Strong & The Diablos?,doo-wop
2377,What genre is Enzo Pietropaoli?,jazz
2378,What genre is Heat?,seinen
2379,What genre is Come on Down?,grunge
2380,What genre is Jump?,dubstep
2381,What genre is Decision?,anthology series
2382,What genre is The King and I?,musical film
2383,What genre is Betrayal?,crime film
2384,What genre is &?,J-pop
2385,What genre is Stronger?,dance-pop
2386,What genre is Alien Terminator?,action film
2387,What genre is Spent?,indie rock
2388,What genre is Battle?,indie rock
2389,What genre is Imagine?,trance
2390,What genre is Is This It?,rock music
2391,What genre is Great Expectations?,fiction
2392,What genre is Push?,science fiction film
2393,What genre is RCA Records?,pop music
2394,What genre is Simon Le Bon?,pop music
2395,What genre is Malcolm Yelvington?,country music
2396,What genre is Picture This?,romantic comedy
2397,What genre is One More Time?,pop music
2398,What genre is Look Around You?,television comedy
2399,What genre is Bear?,horror film
2400,What genre is Dimensions?,power metal
2401,What genre is Discount?,comedy-drama
2402,"What genre is Tempting The Gods: The Selected Stories of Tanith Lee, Volume 1?",short story
2403,What genre is Let It Be You?,country music
2404,What genre is Pictures?,techno
2405,What genre is Martin Garrix?,electronic dance music
2406,What genre is Scorpio?,rock music
2407,What genre is Ismael Quintana?,salsa
2408,What genre is Ross Macdonald?,detective fiction
2409,What genre is The Magnetic Monster?,science fiction film
2410,What genre is Blow?,biographical film
2411,What genre is Colors?,crime film
2412,What genre is HiM?,post-rock
2413,What genre is Seed?,massively multiplayer online role-playing game
2414,What genre is Analyze This?,comedy film
2415,What genre is The Shot?,reality television
2416,What genre is ID A?,thriller
2417,What genre is Christine?,horror literature
2418,What genre is Ball?,rock music
2419,What genre is Little Things?,traditional music
2420,What genre is Incorporated?,groove metal
2421,What genre is World Trade?,progressive rock
2422,What genre is Phantom of the Opera?,horror film
2423,What genre is Truth?,contemporary Christian music
2424,What genre is Thinking of You?,rhythm and blues
2425,What genre is Mother?,heavy metal
2426,What genre is Jetpac?,shooter game
2427,What genre is Inside?,horror film
2428,What genre is Julia?,telenovela
2429,What genre is Working?,sitcom
2430,What genre is Me & My?,Eurodance
2431,What genre is Either Way?,comedy film
2432,What genre is Peter Paul Rubens?,history painting
2433,What genre is Speed?,rock music
2434,What genre is Hum?,alternative rock
2435,What genre is The Governor?,docudrama
2436,What genre is Wish You Were Here?,progressive rock
2437,What genre is Brad Delp?,rock music
2438,What genre is The System?,synth-pop
2439,What genre is Jeffrey?,romantic comedy
2440,What genre is Sex?,sadomasochism
2441,What genre is Clockwise?,comedy film
2442,What genre is Threads?,indie rock
2443,What genre is Francesco Guardi?,veduta
2444,What genre is Rise?,K-pop
2445,What genre is Synyster Gates?,heavy metal
2446,What genre is Shade?,interactive fiction
2447,What genre is Milk?,biographical film
2448,What genre is Electronic?,alternative dance
2449,What genre is The Party?,comedy film
2450,What genre is Stray?,psychedelic rock
2451,What genre is Ideal?,Neue Deutsche Welle
2452,What genre is While the City Sleeps?,film noir
2453,What genre is Foundation?,non-fiction
2454,What genre is Species?,science fiction film
2455,What genre is Fear?,horror film
2456,What genre is The Miracle?,comedy film
2457,What genre is Do Over?,comedy-drama
2458,What genre is Breathe?,country music
2459,What genre is Stone?,science fiction
2460,What genre is Right There?,romantic comedy
2461,What genre is Good Question?,rhythm and blues
2462,What genre is Paprika?,science fiction film
2463,What genre is X?,science fiction
2464,What genre is One?,rock music
2465,What genre is Gangsta Boo?,hip hop music
2466,What genre is The Dentist?,horror film
2467,What genre is Peggle 2?,puzzle video game
2468,What genre is El usurpador?,telenovela
2469,What genre is The Guard?,comedy film
2470,What genre is Fire?,horror literature
2471,What genre is So Fine?,comedy film
2472,What genre is The Moment?,mandopop
2473,What genre is Rome?,historical drama
2474,What genre is Shine?,jazz
2475,What genre is The List?,documentary film
